association,score,general_aspect,review_text,hotel,location,review_rating
vista linda,5,zona,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
equipe bastante atenciosa,4,servico,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
equipe bastante cordial,4,servico,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
cafe bom,4,comida,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
cafe da manha bom,4,comida,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
cafe da manha sem luxos,4,comida,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
area agradavel,5,instalacoes|zona,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
piscina agradavel,5,instalacoes,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
quartos muito limpos,4,instalacoes,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
agua da piscina nao aquecida,2,equipamento,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
cama confortavel,4,equipamento,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
equipe atenciosa,4,servico,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
preco pouco caro,3,servico,"Apesar de nao ser tudo aquilo que demonstra nas fotos, o hotel e realmente muito bom! Nosso quarto nao tinha vista (ficava de frente pra rodoviaria. . .), mas com certeza os da frente devem ter uma vista linda da marina! A equipe e bastante atenciosa e cordial. O cafe da manha, incluso, e bem bom, mas sem luxos. A area da piscina e agradavel, mas nao tem vista para a marina, e a agua da piscina nao e adequadamente aquecida. Alem disso, e preciso deixar uma caucao de 10 euros para pegar uma toalha para a piscina. Os quartos sao muito limpos, cama confortavel (mesmo tendo pego duas de solteiro juntas). Fornecem frigobar, mas sem nada dentro. O unico porem foi que tivemos uma pequena invasao de formigas no ultimo dia, mas a equipe foi tao atenciosa e disse que facilmente poderia resolver com o detetizador caso tivesse ocorrido antes. Recomendo, apesar de ainda achar o preco um pouco caro para o que realmente oferecem! ",Hotel Marina Rio,Distrito de Faro,4
atendimento cortes,3,servico,"Hotel com administracao familiar com atendimento cortes. Quarto espacoso e limpo, com cama confortavel. Bom isolamento acustico nas paredes. O cafe da manha e otimo, com varios frios, paes, cereais, iogurte, frutas, bolos, geleias. Tem piscina climatizada na cobertura. Localizado em frente a marina de onde saem os passeios de barco para a Ponta da Piedade e a 10 minutos de caminhada do centro de Lagos. Estacionamento publico ao lado do hotel custa 1 euro por dia na baixa temporada (outubro a maio) e 3 euros na alta (junho a setembro). Para quem nao esta de carro, na avenida do hotel passa onibus urbano para ir a praia da Dona Ana e a Ponta da Piedade. ",Hotel Marina Rio,Distrito de Faro,4
administracao familiar,3,servico,"Hotel com administracao familiar com atendimento cortes. Quarto espacoso e limpo, com cama confortavel. Bom isolamento acustico nas paredes. O cafe da manha e otimo, com varios frios, paes, cereais, iogurte, frutas, bolos, geleias. Tem piscina climatizada na cobertura. Localizado em frente a marina de onde saem os passeios de barco para a Ponta da Piedade e a 10 minutos de caminhada do centro de Lagos. Estacionamento publico ao lado do hotel custa 1 euro por dia na baixa temporada (outubro a maio) e 3 euros na alta (junho a setembro). Para quem nao esta de carro, na avenida do hotel passa onibus urbano para ir a praia da Dona Ana e a Ponta da Piedade. ",Hotel Marina Rio,Distrito de Faro,4
quarto espacoso,3,instalacoes,"Hotel com administracao familiar com atendimento cortes. Quarto espacoso e limpo, com cama confortavel. Bom isolamento acustico nas paredes. O cafe da manha e otimo, com varios frios, paes, cereais, iogurte, frutas, bolos, geleias. Tem piscina climatizada na cobertura. Localizado em frente a marina de onde saem os passeios de barco para a Ponta da Piedade e a 10 minutos de caminhada do centro de Lagos. Estacionamento publico ao lado do hotel custa 1 euro por dia na baixa temporada (outubro a maio) e 3 euros na alta (junho a setembro). Para quem nao esta de carro, na avenida do hotel passa onibus urbano para ir a praia da Dona Ana e a Ponta da Piedade. ",Hotel Marina Rio,Distrito de Faro,4
quarto limpo,3,instalacoes,"Hotel com administracao familiar com atendimento cortes. Quarto espacoso e limpo, com cama confortavel. Bom isolamento acustico nas paredes. O cafe da manha e otimo, com varios frios, paes, cereais, iogurte, frutas, bolos, geleias. Tem piscina climatizada na cobertura. Localizado em frente a marina de onde saem os passeios de barco para a Ponta da Piedade e a 10 minutos de caminhada do centro de Lagos. Estacionamento publico ao lado do hotel custa 1 euro por dia na baixa temporada (outubro a maio) e 3 euros na alta (junho a setembro). Para quem nao esta de carro, na avenida do hotel passa onibus urbano para ir a praia da Dona Ana e a Ponta da Piedade. ",Hotel Marina Rio,Distrito de Faro,4
cama confortavel,4,equipamento,"Hotel com administracao familiar com atendimento cortes. Quarto espacoso e limpo, com cama confortavel. Bom isolamento acustico nas paredes. O cafe da manha e otimo, com varios frios, paes, cereais, iogurte, frutas, bolos, geleias. Tem piscina climatizada na cobertura. Localizado em frente a marina de onde saem os passeios de barco para a Ponta da Piedade e a 10 minutos de caminhada do centro de Lagos. Estacionamento publico ao lado do hotel custa 1 euro por dia na baixa temporada (outubro a maio) e 3 euros na alta (junho a setembro). Para quem nao esta de carro, na avenida do hotel passa onibus urbano para ir a praia da Dona Ana e a Ponta da Piedade. ",Hotel Marina Rio,Distrito de Faro,4
isolamento bom,4,instalacoes,"Hotel com administracao familiar com atendimento cortes. Quarto espacoso e limpo, com cama confortavel. Bom isolamento acustico nas paredes. O cafe da manha e otimo, com varios frios, paes, cereais, iogurte, frutas, bolos, geleias. Tem piscina climatizada na cobertura. Localizado em frente a marina de onde saem os passeios de barco para a Ponta da Piedade e a 10 minutos de caminhada do centro de Lagos. Estacionamento publico ao lado do hotel custa 1 euro por dia na baixa temporada (outubro a maio) e 3 euros na alta (junho a setembro). Para quem nao esta de carro, na avenida do hotel passa onibus urbano para ir a praia da Dona Ana e a Ponta da Piedade. ",Hotel Marina Rio,Distrito de Faro,4
isolamento acustico bom,4,instalacoes,"Hotel com administracao familiar com atendimento cortes. Quarto espacoso e limpo, com cama confortavel. Bom isolamento acustico nas paredes. O cafe da manha e otimo, com varios frios, paes, cereais, iogurte, frutas, bolos, geleias. Tem piscina climatizada na cobertura. Localizado em frente a marina de onde saem os passeios de barco para a Ponta da Piedade e a 10 minutos de caminhada do centro de Lagos. Estacionamento publico ao lado do hotel custa 1 euro por dia na baixa temporada (outubro a maio) e 3 euros na alta (junho a setembro). Para quem nao esta de carro, na avenida do hotel passa onibus urbano para ir a praia da Dona Ana e a Ponta da Piedade. ",Hotel Marina Rio,Distrito de Faro,4
